0	0.495103
1	0.548464
2	0.633146
3	0.683798
4	0.75708
5	0.841744
6	0.908291
7	0.876621
8	0.899371
9	0.868216
10	0.856085
11	0.87227
12	0.868914
13	0.896067
14	0.901998
15	0.94382
16	0.918301
17	0.851303
18	0.783708
19	0.751248
20	0.713759
21	0.637285
22	0.609231
23	0.634678
24	0.6222
25	0.532587
26	0.475902
27	0.46309
28	0.477658
29	0.475621
30	0.53315
31	0.591878
32	0.610869
33	0.604333
34	0.494978
35	0.381056
36	0.249011
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0.109083
120	0.170791
121	0.178301
122	0.140455
123	0.0979098
124	0.069592
125	0.0655521
126	0.043433
127	0.0368751
128	0.0302546
129	0.0399491
130	0.0461542
131	0.0670155
132	0.0850995
133	0.107246
134	0.12661
135	0.0975209
136	0.0979914
137	0.0726891
138	0.0512511
139	0.0215893
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0.0193559
178	0.032898
179	0.0463325
180	0.0582165
181	0.0597269
182	0.0486664
183	0.0342889
184	0.0298013
185	0.0232431
186	0.0285032
187	0.0316504
188	0.036338
189	0.0416699
190	0.0507727
191	0.0548126
192	0.0525393
193	0.0578365
194	0.0602386
195	0.0631882
196	0.0658392
197	0.0641511
198	0.0666325
199	0.0547632
200	0.0498953
201	0.0360689
202	0.0367029
203	0.0619287
204	0.0668241
205	0.052641
206	0.032829
207	0.0148585
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	0
269	0
270	0
271	0
272	0
273	0
274	0
275	0
276	0
277	0
278	0
279	0
280	0
281	0
282	0
283	0
284	0
285	0
286	0
287	0
288	0
289	0
290	0
291	0
292	0
293	0
294	0
295	0
296	0
297	0
298	0
299	0
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0.00195622
374	0.0176991
375	0.0326531
376	0.0480669
377	0.0675999
378	0.0804424
379	0.0889419
380	0.105642
381	0.108491
382	0.114019
383	0.109122
384	0.105505
385	0.101996
386	0.0935495
387	0.0829584
388	0.0769918
389	0.0706634
390	0.0657489
391	0.0615621
392	0.0550579
393	0.0466403
394	0.042168
395	0.0346651
396	0.0339764
397	0.0259165
398	0.0245262
399	0.0208035
400	0.0197826
401	0.0190451
402	0.0180764
403	0.0206484
